"","Gender","Genotype","Row","Galls.found","shootEst.all","shootEst.no18","plant.position","gall.id","gall.id.nest","g.id.unk","g.height","g.width","g.3meas","point.count","exit.size","gall.sp","gall_contents","value"
"209","f","G",11,1,237.999679852778,235.369638233952,465,"5","447","","9.25","5.99","5.79",NA,NA,"rG","rG.larv","1"
"210","f","G",11,1,237.999679852778,235.369638233952,465,"6","448","","6.5","4.74","4.03",NA,NA,"rG","rG.larv","1"
"211","m","Y",11,1,576.249659671782,484.06839604386,475,"1.2","455","","7.2","5.77","5.12",NA,NA,"rG","rG.larv","1"
"212","m","Y",11,1,576.249659671782,484.06839604386,475,"2","456","","10.5","4.91","4.08",NA,NA,"rG","rG.larv","1"
"213","m","K",11,1,707.653068666627,572.336899778713,455,"4","467","","7.1","4.7","3.93",NA,NA,"rG","rG.larv","1"
"214","m","K",11,1,707.653068666627,572.336899778713,455,"7.3","472","","4.33","2.81","2.8",NA,NA,"rG","rG.larv","1"
"215","m","K",11,1,707.653068666627,572.336899778713,455,"7.5","474","","4.86","2.7","2.64",NA,NA,"rG","rG.larv","1"
"216","m","K",11,1,707.653068666627,572.336899778713,455,"20","487","","6.74","4.4","4.17",NA,NA,"rG","rG.larv","1"
"217","m","K",11,1,707.653068666627,572.336899778713,455,"22","489","","5.88","3.91","3.7",NA,NA,"rG","rG.larv","1"
"218","m","N",12,1,212.066411004529,214.23642961132,509,"2","506","","8.63","5.52","4.17",NA,NA,"rG","rG.larv","6"
"219","m","N",12,1,212.066411004529,214.23642961132,509,"3","507","","7.24","5.21","4.81",NA,NA,"rG","rG.larv","4"
"220","m","Z",2,1,206.79034976002,209.880024788393,55,"11.2","511","","5.53","4.16","4.72",NA,NA,"rG","rG.larv","1"
"221","m","Z",2,1,206.79034976002,209.880024788393,55,"12","512","","7.48","6.69","5.64",NA,NA,"rG","rG.larv","1"
"222","m","Z",2,1,206.79034976002,209.880024788393,55,"13","513","","6.17","6.07","5.45",NA,NA,"rG","rG.larv","1"
"223","m","Z",2,1,206.79034976002,209.880024788393,55,"20","516","","6.64","3.9","3.82",NA,NA,"rG","rG.larv","1"
"224","m","Z",2,1,206.79034976002,209.880024788393,55,"23","518","","6.19","5.44","5.39",NA,NA,"rG","rG.larv","1"
"225","m","Z",2,1,206.79034976002,209.880024788393,55,"29","520","","4.71","5.33","5.15",NA,NA,"rG","rG.larv","1"
"226","m","S",12,1,210.296913073928,212.777622099435,503,"1.1","546","","7.86","5.87","4.81",NA,NA,"rG","rG.larv","3"
"227","m","S",12,1,210.296913073928,212.777622099435,503,"1.2","547","","7.56","5.97","5.52",NA,NA,"rG","rG.larv","1"
"228","m","S",12,1,210.296913073928,212.777622099435,503,"1.6","551","","8.6","5.98","5.7",NA,NA,"rG","rG.larv","1"
"229","m","S",12,1,210.296913073928,212.777622099435,503,"1.7","552","","7.8","6.5","5.72",NA,NA,"rG","rG.larv","1"
"230","m","S",12,1,210.296913073928,212.777622099435,503,"1.8","553","","7.11","4.5","4.48",NA,NA,"rG","rG.larv","1"
"231","m","W",13,1,206.79034976002,209.880024788393,541,"1.1","569","","5.13","3.47","3.24",NA,NA,"rG","rG.larv","1"
"232","m","W",13,1,206.79034976002,209.880024788393,541,"1.6","574","","5.4","4.65","4.28",NA,NA,"rG","rG.larv","1"
"233","m","W",13,1,206.79034976002,209.880024788393,541,"1.7","575","","4.9","4.98","4.94",NA,NA,"rG","rG.larv","1"
"234","m","W",14,1,266.179953131953,257.857580375323,590,"1.4","580","","5.31","4.93","4.27",NA,NA,"rG","rG.larv","1"
"235","m","W",14,1,266.179953131953,257.857580375323,590,"1.5","581","","7.32","6.95","6.78",NA,NA,"rG","rG.larv","1"
"236","m","W",14,1,266.179953131953,257.857580375323,590,"1.6","582","","5.98","5.65","5.78",NA,NA,"rG","rG.larv","1"
"237","m","W",14,1,266.179953131953,257.857580375323,590,"1.7","583","","7.77","6.51","5.26",NA,NA,"rG","rG.larv","1"
"238","m","W",14,1,266.179953131953,257.857580375323,590,"1.12","588","","10.53","5.63","5.07",NA,NA,"rG","rG.larv","12"
"239","m","K",12,1,445.058388306984,392.120632978501,497,"3.8","616","","5.16","4.92","3.69",NA,NA,"rG","rG.larv","1"
"240","m","K",12,1,445.058388306984,392.120632978501,497,"3.1","618","","7.74","6.93","6.43",NA,NA,"rG","rG.larv","6"
"241","m","K",12,1,445.058388306984,392.120632978501,497,"3.12","620","","7.73","5.8","5.78",NA,NA,"rG","rG.larv","1"
"242","m","K",12,1,445.058388306984,392.120632978501,497,"3.13","621","","6.41","4.21","4.12",NA,NA,"rG","rG.larv","1"
"243","m","Z",12,1,606.308061872618,504.561114337464,536,"2.2","639","","7.12","5.36","5.32",NA,NA,"rG","rG.larv","1"
"244","m","Z",12,1,606.308061872618,504.561114337464,536,"2.3","640","","8.72","5.06","4.43",NA,NA,"rG","rG.larv","1"
"245","m","Z",12,1,606.308061872618,504.561114337464,536,"2.4","641","","8.29","5.3","4.61",NA,NA,"rG","rG.larv","1"
"246","m","Z",12,1,606.308061872618,504.561114337464,536,"2.5","642","","8.84","5.92","5.61",NA,NA,"rG","rG.larv","1"
"247","f","A",12,1,312.925566299635,294.223426652348,520,"2","649","","5.99","4.82","3.99",NA,NA,"rG","rG.larv","1"
"248","f","I",9,1,141.246786362241,153.806225370539,365,"4","664","","7.71","6.68","5.54",NA,NA,"rG","rG.larv","1"
"249","m","D",6,1,230.366048270584,229.195214428022,259,"3","680","","6.72","6.17","5.55",NA,NA,"rG","rG.larv","1"
"250","m","P",2,1,327.317184424437,305.211527736311,62,"2","687","","10.19","6.11","6.39",NA,NA,"rG","rG.larv","1"
"251","f","H",2,1,378.799571404938,343.821386659906,54,"23","718","","6.97","6.87","6.51",NA,NA,"rG","rG.larv","1"
"252","f","H",2,1,378.799571404938,343.821386659906,54,"25.1","720","","7.11","3.8","3.67",NA,NA,"rG","rG.larv","1"
"253","f","H",2,1,378.799571404938,343.821386659906,54,"25.2","721","","4.11","3.43","2.87",NA,NA,"rG","rG.larv","1"
"254","f","*",2,1,113.224954286215,128.428714760193,87,"6","740","","8.43","7.46","6.43",NA,NA,"rG","rG.larv","5"
"255","f","*",2,1,113.224954286215,128.428714760193,87,"7","741","","9.45","7.09","6",NA,NA,"rG","rG.larv","1"
"256","f","*",2,1,113.224954286215,128.428714760193,87,"10","745","","9.23","8.77","8.35",NA,NA,"rG","rG.larv","1"
"257","f","*",2,1,113.224954286215,128.428714760193,87,"12","747","","8.5","6.03","4.64",NA,NA,"rG","rG.larv","1"
"258","f","*",2,1,113.224954286215,128.428714760193,87,"13","748","","7.61","8.21","7.08",NA,NA,"rG","rG.larv","1"
"259","m","S",8,1,376.093519295734,341.817202184173,326,"20.7","756","","7.65","4.92","4.27",NA,NA,"rG","rG.larv","1"
"260","m","S",8,1,376.093519295734,341.817202184173,326,"20.8","757","","7.85","4.08","3.85",NA,NA,"rG","rG.larv","1"
"261","m","S",8,1,376.093519295734,341.817202184173,326,"20.1","760","","5.69","3.19","3.09",NA,NA,"rG","rG.larv","1"
"262","m","S",8,1,376.093519295734,341.817202184173,326,"23","764","","4.84","4.14","3.9",NA,NA,"rG","rG.larv","1"
"263","f","X",6,1,352.370989871097,324.130959186325,260,"6.1","772","","6.43","5.66","3.51",NA,NA,"rG","rG.larv","1"
"264","f","X",6,1,352.370989871097,324.130959186325,260,"6.2","773","","6.22","3.45","3.16",NA,NA,"rG","rG.larv","1"
"265","f","X",6,1,352.370989871097,324.130959186325,260,"9","775","","11.54","7.29","6.27",NA,NA,"rG","rG.larv","1"
"266","f","X",6,1,352.370989871097,324.130959186325,260,"13","781","","7.9","7.53","7.24",NA,NA,"rG","rG.larv","1"
"267","m","D",6,1,276.811562333759,266.225466910111,262,"9.1","801","","7.12","4.86","4.66",NA,NA,"rG","rG.larv","1"
"268","m","D",6,1,276.811562333759,266.225466910111,262,"9.2","802","","7.26","5.86","5.29",NA,NA,"rG","rG.larv","1"
"269","m","D",6,1,276.811562333759,266.225466910111,262,"9.4","804","","7.08","3.59","3.58",NA,NA,"rG","rG.larv","1"
"270","m","D",6,1,276.811562333759,266.225466910111,262,"9.5","805","","5.57","3.86","3.33",NA,NA,"rG","rG.larv","1"
"271","m","D",6,1,276.811562333759,266.225466910111,262,"10","806","","8.15","5.97","4.55",NA,NA,"rG","rG.larv","1"
"272","m","D",6,1,276.811562333759,266.225466910111,262,"11","807","","7.9","5.63","5.35",NA,NA,"rG","rG.larv","1"
"273","m","D",6,1,276.811562333759,266.225466910111,262,"7","814","","7.15","8.1","5.1",NA,NA,"rG","rG.larv","3"
"274","m","O",9,1,320.062206860588,299.683699161892,399,"2.1","826","","8.12","4.89","4.59",NA,NA,"rG","rG.larv","1"
"275","m","P",9,1,384.254368868127,347.853371676473,362,"2","854","","4.99","6.54","4.67",NA,NA,"rG","rG.larv","4"
"276","m","P",9,1,384.254368868127,347.853371676473,362,"3.1","855","","7.27","6.88","6.54",NA,NA,"rG","rG.larv","1"
"277","f","*",8,1,352.370989871097,324.130959186325,319,"1","857","","5.52","5.38","4.88",NA,NA,"rG","rG.larv","1"
"278","f","*",8,1,352.370989871097,324.130959186325,319,"4","860","","6.29","6.08","5.95",NA,NA,"rG","rG.larv","1"
"279","f","*",8,1,352.370989871097,324.130959186325,319,"5","861","","6.88","6.04","5.8",NA,NA,"rG","rG.larv","1"
"280","f","*",8,1,352.370989871097,324.130959186325,319,"8","864","","7.89","6.16","5.46",NA,NA,"rG","rG.larv","1"
"281","f","*",8,1,352.370989871097,324.130959186325,319,"9","865","","5.79","4.7","4.65",NA,NA,"rG","rG.larv","1"
"282","f","*",8,1,352.370989871097,324.130959186325,319,"19","875","","6.31","6.04","5.04",NA,NA,"rG","rG.larv","1"
"283","f","*",8,1,352.370989871097,324.130959186325,319,"20","876","","5.85","4.88","4.83",NA,NA,"rG","rG.larv","1"
"284","m","S",12,1,591.139114140453,494.243517924796,518,"1","877","","4.47","3.37","3.03",NA,NA,"rG","rG.larv","2"
"285","m","D",2,1,104.50936915315,120.308286862188,52,"11","905","","5.7","4.65","4.56",NA,NA,"rG","rG.larv","1"
"286","m","D",2,1,104.50936915315,120.308286862188,52,"19.8","922","","4.66","4.06","3.37",NA,NA,"rG","rG.larv","1"
"287","f","F",12,1,215.638049803451,217.174140341105,499,"1.1","925","","7.31","6.13","5.77",NA,NA,"rG","rG.larv","1"
"288","f","F",12,1,215.638049803451,217.174140341105,499,"1.7","931","","5.94","5.12","4.12",NA,NA,"rG","rG.larv","1"
"289","f","F",12,1,215.638049803451,217.174140341105,499,"1.8","932","","5.92","4.74","4.15",NA,NA,"rG","rG.larv","1"
"290","f","F",12,1,215.638049803451,217.174140341105,499,"3.1","937","","7.05","9.04","8.3",NA,NA,"rG","rG.larv","1"
"291","f","F",12,1,215.638049803451,217.174140341105,499,"3.2","938","","7.73","7.52","7.48",NA,NA,"rG","rG.larv","1"
"292","f","F",12,1,215.638049803451,217.174140341105,499,"3.3","939","","6.97","6.37","6.04",NA,NA,"rG","rG.larv","1"
"293","f","F",12,1,215.638049803451,217.174140341105,499,"3.4","940","","5.86","6.53","5.64",NA,NA,"rG","rG.larv","7"
"294","f","F",12,1,215.638049803451,217.174140341105,499,"3.7","943","","7.05","5.41","5.32",NA,NA,"rG","rG.larv","1"
"295","f","F",12,1,215.638049803451,217.174140341105,499,"3.8","944","","7.5","5.29","5.28",NA,NA,"rG","rG.larv","1"
"296","f","A",11,1,347.251733134381,320.285894905,481,"5","983","","5.71","4.77","4.64",NA,NA,"rG","rG.larv","1"
"297","f","A",11,1,347.251733134381,320.285894905,481,"6.2","985","","6.15","4.74","3.94",NA,NA,"rG","rG.larv","1"
"298","f","A",11,1,347.251733134381,320.285894905,481,"7","986","","6.64","4.25","3.9",NA,NA,"rG","rG.larv","1"
"299","m","D",6,1,230.366048270584,229.195214428022,259,"7","990","","6.26","4.77","4.77",NA,NA,"rG","rG.larv","1"
"300","m","D",6,1,230.366048270584,229.195214428022,259,"8.2","992","","6.08","2.95","3.47",NA,NA,"rG","rG.larv","1"
"301","m","D",6,1,230.366048270584,229.195214428022,259,"8.4","994","","5.68","4.29","3.84",NA,NA,"rG","rG.larv","1"
"302","m","D",6,1,230.366048270584,229.195214428022,259,"8.5","995","","5.38","3.92","3.44",NA,NA,"rG","rG.larv","1"
"303","f","*",2,1,113.224954286215,128.428714760193,87,"1","999","","8.31","7.06","6.46",NA,NA,"rG","rG.larv","1"
"304","f","*",2,1,113.224954286215,128.428714760193,87,"2","1000","","11.61","7.98","5.89",NA,NA,"rG","rG.larv","1"
"305","f","*",2,1,113.224954286215,128.428714760193,87,"4","1002","","6.4","7.62","6.18",NA,NA,"rG","rG.larv","1"
"306","f","*",6,1,257.892242313058,251.291716676965,240,"1","1003","","6.19","4.79","4.43",NA,NA,"rG","rG.larv","1"
"307","f","*",6,1,257.892242313058,251.291716676965,240,"3","1005","","5.19","4.24","4.15",NA,NA,"rG","rG.larv","1"
"308","f","X",6,1,208.538239995587,211.325492357578,235,"21","1009","","6.78","6.69","4.6",NA,NA,"rG","rG.larv","1"
"309","f","X",6,1,208.538239995587,211.325492357578,235,"24","1013","","6.2","6.27","5.72",NA,NA,"rG","rG.larv","1"
"310","f","H",8,1,337.176702121881,312.687784101399,321,"3.1","1038","","7.45","5","4.76",NA,NA,"rG","rG.larv","1"
"311","f","H",8,1,337.176702121881,312.687784101399,321,"3.2","1039","","5.35","5.29","5.16",NA,NA,"rG","rG.larv","1"
"312","f","I",9,1,141.246786362241,153.806225370539,365,"6.1","1052","","7.05","6.48","6.19",NA,NA,"rG","rG.larv","1"
"313","f","I",9,1,141.246786362241,153.806225370539,365,"6.2","1053","","7","5.65","5.04",NA,NA,"rG","rG.larv","1"
"314","f","I",9,1,141.246786362241,153.806225370539,365,"6.3","1054","","9.01","6.11","5.55",NA,NA,"rG","rG.larv","1"
"315","f","I",9,1,141.246786362241,153.806225370539,365,"6.5","1056","","7.57","8.28","6.09",NA,NA,"rG","rG.larv","1"
"316","f","I",9,1,141.246786362241,153.806225370539,365,"6.13","1064","","6.11","4.26","3.95",NA,NA,"rG","rG.larv","1"
"317","f","I",9,1,141.246786362241,153.806225370539,365,"6.14","1065","","6.52","3.54","3.52",NA,NA,"rG","rG.larv","1"
"318","f","R",8,1,320.062206860588,299.683699161892,320,"2","1074","","6.92","6.64","6.53",NA,NA,"rG","rG.larv","1"
"319","f","R",8,1,320.062206860588,299.683699161892,320,"4","1081","","7.22","6.25","5.59",NA,NA,"rG","rG.larv","1"
"320","f","R",8,1,320.062206860588,299.683699161892,320,"6.2","1084","","5.04","5.76","5.2",NA,NA,"rG","rG.larv","1"
"321","f","R",8,1,320.062206860588,299.683699161892,320,"6.6","1088","","6.74","5.4","5.3",NA,NA,"rG","rG.larv","1"
"322","f","R",8,1,320.062206860588,299.683699161892,320,"8","1093","","5.47","5.71","5.02",NA,NA,"rG","rG.larv","1"
"323","f","R",8,1,320.062206860588,299.683699161892,320,"10","1095","","8.21","7.73","6.85",NA,NA,"rG","rG.larv","2"
"324","f","R",8,1,320.062206860588,299.683699161892,320,"13","1098","","5.59","5.2","4.55",NA,NA,"rG","rG.larv","1"
"325","f","R",8,1,320.062206860588,299.683699161892,320,"14","1099","","10.33","10.03","8.93",NA,NA,"rG","rG.larv","2"
"326","m","Z",2,1,206.79034976002,209.880024788393,55,"5","1118","","10.29","7.1","6.69",NA,NA,"rG","rG.larv","1"
"327","m","Z",2,1,206.79034976002,209.880024788393,55,"14","1122","","7.45","7.44","7.4",NA,NA,"rG","rG.larv","1"
"328","m","Z",2,1,206.79034976002,209.880024788393,55,"24","1127","","8.55","7.62","7.59",NA,NA,"rG","rG.larv","1"
"329","f","X",9,1,101.371249409915,117.354241614501,363,"1","1132","","9.13","6.28","5.8",NA,NA,"rG","rG.larv","1"
"330","f","X",9,1,101.371249409915,117.354241614501,363,"2","1133","","9.18","6.45","5.02",NA,NA,"rG","rG.larv","1"
"331","f","X",9,1,101.371249409915,117.354241614501,363,"4.1","1135","","8.49","6.12","5.07",NA,NA,"rG","rG.larv","1"
"332","f","X",9,1,101.371249409915,117.354241614501,363,"4.2","1136","","6.25","4.52","3.89",NA,NA,"rG","rG.larv","1"
"333","f","A",11,1,357.545235538163,328.006863272096,477,"3","1168","","6.21","4.42","4.33",NA,NA,"rG","rG.larv","1"
"334","f","A",11,1,357.545235538163,328.006863272096,477,"4","1169","","7.28","4.57","4.26",NA,NA,"rG","rG.larv","1"
"335","f","Q",12,1,368.060184332852,335.851692620748,502,"4.1","1180","","6.83","4.01","2.9",NA,NA,"rG","rG.larv","1"
"336","f","Q",12,1,368.060184332852,335.851692620748,502,"7","1184","","10.52","6.9","6.81",NA,NA,"rG","rG.larv","4"
"337","f","I",13,1,332.220188326465,308.934486797842,562,"2","1191","","7.44","5.55","5.26",NA,NA,"rG","rG.larv","1"
"338","f","M",11,1,499.207765160246,430.606904726988,453,"8.2","1229","","6.07","5.17","4.19",NA,NA,"rG","rG.larv","1"
"339","m","K",9,1,153.482478235971,164.586842600687,376,"20.3","1233","","7.45","4.34","4.27",NA,NA,"rG","rG.larv","1"
"340","m","K",11,1,707.653068666627,572.336899778713,455,"7","1258","","7.59","7.19","6.4",NA,NA,"rG","rG.larv","1"
"341","f","G",11,1,138.627779860107,151.476680974632,472,"3","1260","","9.55","5.84","5.75",NA,NA,"rG","rG.larv","2"
"342","m","Z",9,1,1189.81004005016,993.619041282888,390,"6","1273","","9.76","4.8","4.29",NA,NA,"rG","rG.larv","1"
"343","f","M",11,1,499.207765160246,430.606904726988,453,"2","1277","","7.55","9.3","6.31",NA,NA,"rG","rG.larv","1"
"344","f","M",11,1,499.207765160246,430.606904726988,453,"3.2","1279","","6.39","2.16","2.08",NA,NA,"rG","rG.larv","1"
"345","f","M",11,1,499.207765160246,430.606904726988,453,"3.3","1280","","5.68","3.12","2.75",NA,NA,"rG","rG.larv","1"
"346","m","K",11,1,707.653068666627,572.336899778713,455,"8.1","1282","","6.56","5.43","4.75",NA,NA,"rG","rG.larv","1"
"347","m","K",11,1,707.653068666627,572.336899778713,455,"8.2","1283","","6.83","3.67","3.47",NA,NA,"rG","rG.larv","1"
"348","m","K",9,1,289.975679656331,276.504994546032,382,"2","1292","","7.62","6.83","6.1",NA,NA,"rG","rG.larv","4"
"349","m","K",9,1,289.975679656331,276.504994546032,374,"8","1310","","7.36","4.8","4.52",NA,NA,"rG","rG.larv","1"
"350","m","K",9,1,289.975679656331,276.504994546032,374,"16","1318","","6.38","6.69","5.88",NA,NA,"rG","rG.larv","1"
"351","m","K",9,1,289.975679656331,276.504994546032,374,"17","1319","","8.06","7.51","6.75",NA,NA,"rG","rG.larv","1"
"352","m","K",9,1,289.975679656331,276.504994546032,374,"19","1321","","7.3","4.77","4.37",NA,NA,"rG","rG.larv","1"
"353","m","O",8,1,206.79034976002,209.880024788393,323,"4.1","1345","","7.54","4.13","3.95",NA,NA,"rG","rG.larv","1"
"354","m","O",8,1,206.79034976002,209.880024788393,323,"5","1347","","10.5","7.35","5.44",NA,NA,"rG","rG.larv","1"
"355","m","O",8,1,206.79034976002,209.880024788393,323,"6","1348","","10.03","8.26","4.94",NA,NA,"rG","rG.larv","1"
"356","m","D",6,1,230.366048270584,229.195214428022,259,"1","1351","","7.21","4.84","4.32",NA,NA,"rG","rG.larv","1"
"357","f","I",9,1,141.246786362241,153.806225370539,365,"4","1357","","8.88","9.27","8.64",NA,NA,"rG","rG.larv","1"
"358","m","Y",2,1,281.149952313655,269.622973915683,68,"2.8","1374","","7.24","4.83","4.23",NA,NA,"rG","rG.larv","1"
"359","m","O",13,1,294.46373095663,279.989758500388,569,"3","1380","","7.48","8.77","7.42",NA,NA,"rG","rG.larv","1"
"360","f","X",11,1,253.819945923519,248.051256075529,492,"2","1382","","8.78","7.43","7.36",NA,NA,"rG","rG.larv","2"
"361","f","R",8,1,257.892242313058,251.291716676965,335,"3","1407","","9.78","6.11","5.54",NA,NA,"rG","rG.larv","2"
"362","f","R",8,1,257.892242313058,251.291716676965,335,"4","1408","","8.65","7.53","5.95",NA,NA,"rG","rG.larv","1"
"363","f","R",8,1,257.892242313058,251.291716676965,335,"7","1411","","5.27","4.9","4.19",NA,NA,"rG","rG.larv","1"
"364","m","Y",5,1,384.254368868127,347.853371676473,199,"2","1436","","7.99","5.24",NA,NA,NA,"rG","rG.larv","1"
"365","m","Y",2,1,283.337698920593,271.33257977973,60,"1","1438","","8.18","8.02",NA,NA,NA,"rG","rG.larv","1"
"366","m","Y",2,1,283.337698920593,271.33257977973,60,"2","1439","","7.47","4.81",NA,NA,NA,"rG","rG.larv","1"
"367","f","H",2,1,378.799571404938,343.821386659906,54,"13.1","86","","25.64","16.44",NA,NA,NA,"SG","SG.larv","4"
"368","f","Q",2,1,505.880492758196,435.294617035854,63,"5","140","","8.9","9.43",NA,NA,NA,"SG","SG.larv","1"
"369","m","J",2,1,482.807759415814,419.036015605462,75,"7","302","","4.84","5.59","5.63",NA,NA,"SG","SG.larv","1"
"370","m","J",2,1,482.807759415814,419.036015605462,75,"4","303","","9.65","9.07","8.49",NA,NA,"SG","SG.larv","1"
"371","f","*",5,1,270.396069656915,261.18323358751,185,"5","356","","10.64","12.5","9.14",NA,NA,"SG","SG.larv","1"
"372","m","T",12,1,406.649742758209,364.298494218108,533,"1.1","627","","4.13","7.2","5.57",NA,NA,"SG","SG.larv","1"
"373","m","T",12,1,406.649742758209,364.298494218108,533,"1.4","630","","8.11","11.96","13.81",NA,NA,"SG","SG.larv","2"
"374","f","*",2,1,113.224954286215,128.428714760193,87,"15","965","","7.91","10.82","7.27",NA,NA,"SG","SG.larv","1"
"375","f","*",2,1,113.224954286215,128.428714760193,87,"17","967","","16.39","30.89","13.77",NA,NA,"SG","SG.larv","5"
"376","f","*",2,1,113.224954286215,128.428714760193,87,"3","1001","","10.55","11.39","8.66",NA,NA,"SG","SG.larv","1"
"377","m","P",8,1,109.896679278524,125.341828419546,333,"2","1017","","15.1","15.92","10.09",NA,NA,"SG","SG.larv","5"
"378","f","V",9,1,418.198467867048,372.713123031044,379,"8.1","1177","","6.43","11.43","6.89",NA,NA,"SG","SG.larv","1"
"379","f","V",9,1,418.198467867048,372.713123031044,379,"8.2","1178","","9.83","11.82","7.61",NA,NA,"SG","SG.larv","2"
"380","f","I",9,1,141.246786362241,153.806225370539,365,"1","1352","","12.48","14.6","11.74",NA,NA,"SG","SG.larv","2"
"381","f","I",9,1,141.246786362241,153.806225370539,365,"2.1","1353","","17.21","28.11","16.06",NA,NA,"SG","SG.larv","2"
"382","m","D",5,1,138.627779860107,151.476680974632,207,"7","1451","","3.95","8.22",NA,NA,NA,"SG","SG.larv","1"
"383","m","D",5,1,138.627779860107,151.476680974632,207,"9","1454","","4.29","10.14",NA,NA,NA,"SG","SG.larv","1"
"384","f","*",5,1,270.396069656915,261.18323358751,185,"2","1461","",NA,NA,NA,NA,NA,"SG","SG.larv","1"
"385","f","*",5,1,270.396069656915,261.18323358751,185,"11","1462","",NA,NA,NA,NA,NA,"SG","SG.larv","10"
"386","m","D",5,1,138.627779860107,151.476680974632,207,"1","198","","3.87","1.81",NA,NA,NA,"aSG","aSG.larv","1"
"387","f","I",14,1,212.066411004529,214.23642961132,626,"15","244","","1.91","4.68","1.52",NA,NA,"aSG","aSG.larv","1"
"388","m","J",2,1,482.807759415814,419.036015605462,75,"2","297","","2.21","5.32","2.03",NA,NA,"aSG","aSG.larv","1"
"389","f","Q",12,1,296.72671021573,281.743133656421,523,"3","431","","1.81","4","1.75",NA,NA,"aSG","aSG.larv","1"
"390","m","K",11,1,707.653068666627,572.336899778713,455,"1","464","","2.04","3.7","1.97",NA,NA,"aSG","aSG.larv","1"
"391","m","E",12,1,196.527104168541,201.346251712486,527,"1","567","","2.01","3.46","1.97",NA,NA,"aSG","aSG.larv","1"
"392","m","K",12,1,445.058388306984,392.120632978501,497,"5.1","625","","1.63","5.3","1.13",NA,NA,"aSG","aSG.larv","1"
"393","m","E",12,1,442.013331552198,389.931540696675,514,"2","650","","2.3","3.73","1.7",NA,NA,"aSG","aSG.larv","1"
"394","f","*",2,1,113.224954286215,128.428714760193,87,"11","746","","1.7","4.71","1.38",NA,NA,"aSG","aSG.larv","1"
"395","m","D",6,1,276.811562333759,266.225466910111,262,"12","808","","2.03","3.94","1.83",NA,NA,"aSG","aSG.larv","1"
"396","m","D",6,1,276.811562333759,266.225466910111,262,"14","810","","1.82","3.06","1.78",NA,NA,"aSG","aSG.larv","1"
"397","f","G",12,1,294.46373095663,279.989758500388,534,"1","816","","4.68","4.34","2.68",NA,NA,"aSG","aSG.larv","1"
"398","f","G",9,1,95.3025013155183,111.592879053329,400,"3","825","","2.84","4.11","2.55",NA,NA,"aSG","aSG.larv","1"
"399","m","O",9,1,320.062206860588,299.683699161892,399,"3","829","","2.1","4.35","1.55",NA,NA,"aSG","aSG.larv","1"
"400","m","B",9,1,625.667309964935,517.66000142503,405,"2","978","","2.12","6.74","1.82",NA,NA,"aSG","aSG.larv","1"
"401","f","Q",10,1,278.974588269154,267.920608173337,439,"2","1019","","2.38","1.61","4.46",NA,NA,"aSG","aSG.larv","1"
"402","f","Q",10,1,278.974588269154,267.920608173337,439,"3","1020","","2.17","5.37","2.01",NA,NA,"aSG","aSG.larv","1"
"403","f","Q",10,1,278.974588269154,267.920608173337,439,"6","1023","","1.79","3.59","1.44",NA,NA,"aSG","aSG.larv","1"
"404","f","L",6,1,278.974588269154,267.920608173337,245,"2","1033","","3.11","4.33","3.06",NA,NA,"aSG","aSG.larv","1"
"405","f","H",8,1,337.176702121881,312.687784101399,321,"5","1042","","2.14","2.79","1.51",NA,NA,"aSG","aSG.larv","1"
"406","f","X",6,1,352.370989871097,324.130959186325,260,"3","1071","","2.02","4.31","1.41",NA,NA,"aSG","aSG.larv","1"
"407","f","R",8,1,320.062206860588,299.683699161892,320,"12","1097","","2.78","4.88","1.67",NA,NA,"aSG","aSG.larv","1"
"408","f","I",13,1,332.220188326465,308.934486797842,562,"3.3","1194","","2.7","5.28","1.92",NA,NA,"aSG","aSG.larv","1"
"409","f","I",13,1,332.220188326465,308.934486797842,562,"4.1","1196","","2.06","3.38","1.76",NA,NA,"aSG","aSG.larv","1"
"410","m","N",9,1,276.811562333759,266.225466910111,396,"1","1216","","1.89","3.17","1.79",NA,NA,"aSG","aSG.larv","1"
"411","f","Q",12,1,368.060184332852,335.851692620748,502,"1","1217","","2.73","4.77","2.43",NA,NA,"aSG","aSG.larv","1"
"412","m","K",9,1,289.975679656331,276.504994546032,382,"17","1239","","2.52","5.28","2.28",NA,NA,"aSG","aSG.larv","1"
"413","m","K",9,1,289.975679656331,276.504994546032,374,"1","1302","","1.81","3.3","1.71",NA,NA,"aSG","aSG.larv","1"
"414","m","K",9,1,289.975679656331,276.504994546032,374,"2","1303","","2.13","5.53","1.76",NA,NA,"aSG","aSG.larv","1"
"415","m","K",9,1,289.975679656331,276.504994546032,374,"4","1305","","2.39","3.75","1.96",NA,NA,"aSG","aSG.larv","1"
"416","f","I",14,1,159.16211687984,169.536599264642,619,"6","1334","","1.78","3.17","1.73",NA,NA,"aSG","aSG.larv","1"
"417","f","G",12,1,60.665926410435,77.2112420400641,507,"1","1389","","2.3","3.35","2.12",NA,NA,"aSG","aSG.larv","1"
"418","f","G",12,1,60.665926410435,77.2112420400641,507,"5","1393","","1.66","2.89","1.45",NA,NA,"aSG","aSG.larv","1"
"419","f","G",12,1,60.665926410435,77.2112420400641,507,"6","1394","","2.04","3.71","1.77",NA,NA,"aSG","aSG.larv","1"
